,Country Name,Country Code,Year,GDP (current US$),GDP growth (annual %),"GNI, Atlas method (current US$)",Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),"Immunization, measles (% of children ages 12-23 months)",Income share held by lowest 20%,"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Population growth (annual %),Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"School enrollment, primary and secondary (gross), gender parity index (GPI)","Total debt service (% of exports of goods, services and primary income)",income,gdp_growth,inequality,inflation,life_exp,poverty,school_enroll,income_num,gdp_growth_num,inequality_num,inflation_num,life_exp_num,poverty_num,school_enroll_num
1243,Kiribati,KIR,2018,233514717.441266,3.47943880004293,400192489.126857,18.9694356249226,21.550364249007,84.0,,11.0818123847419,3.86213725020603,65.807,1.49285448135933,,,,,very low,medium,,medium,low,,,0.0,2.0,1.5,2.0,1.0,1.0,3.0
1244,Kiribati,KIR,2019,216985388.322754,3.26425930432951,447056070.40204,15.9071844882885,,94.0,9.5,9.56440607223913,-3.28622046040152,65.866,1.4934933399344,6.1,21.9,,,very low,medium,very high,very high,low,low,,0.0,2.0,4.0,4.0,1.0,1.0,3.0
1245,Kiribati,KIR,2020,220898020.418627,-1.46805538131593,387011275.425251,14.6977990367426,7.67213258875179,82.0,,9.86434176063188,4.36702890427303,65.205,1.74230469268591,,21.9,,,very low,very low,,low,very low,,,0.0,0.0,1.5,1.0,0.0,1.0,3.0
1246,Kiribati,KIR,2021,285259881.131951,8.47973787138213,404638620.61024,17.7759009396976,2.29693114054698,80.0,,10.7795268669017,9.05871215592991,64.148,1.79039347594032,,,,,very low,very high,,very low,very low,,,0.0,4.0,1.5,0.0,0.0,1.0,3.0
1247,Kiribati,KIR,2022,270040453.254018,4.56632593100372,470818753.765335,20.1578427026361,,85.0,,10.6026974808208,-1.95866921317418,66.269,1.61644031663411,,,,,very low,high,,very high,low,,,0.0,3.0,1.5,4.0,1.0,1.0,3.0
1248,Kiribati,KIR,2023,288610747.738991,2.65201087489879,503384472.297328,25.8459739509243,,79.0,,11.4550652843384,8.70356056522546,66.473,1.56733842415292,,5.5,,,very low,medium,,very low,low,,,0.0,2.0,1.5,0.0,1.0,1.0,3.0
1249,Kiribati,KIR,2024,307862564.489711,5.26689747917099,492972741.418477,,,79.0,,,2.01785612460112,,1.48889841912877,,,,,very low,high,,high,,,,0.0,3.0,1.5,3.0,1.0,1.0,3.0
1250,"Korea, Dem. People's Rep.",PRK,2015,,,,,,98.0,,,,72.825,0.486366779009783,,,,,,,,,medium,,,2.0,,,,2.0,,
1251,"Korea, Dem. People's Rep.",PRK,2016,,,,,,99.0,,,,72.971,0.479685660941037,,,,,,,,,medium,,,2.0,,,,2.0,,
1252,"Korea, Dem. People's Rep.",PRK,2017,,,,,,99.0,,,,73.034,0.463479822191171,,,,,,,,,medium,,,2.0,,,,2.0,,
1253,"Korea, Dem. People's Rep.",PRK,2018,,,,,,98.0,,,,73.02,0.438418123483477,,,,,,,,,medium,,,2.0,,,,2.0,,
1254,"Korea, Dem. People's Rep.",PRK,2019,,,,,,99.0,,,,72.928,0.409804313568107,,,,,,,,,medium,,,2.0,,,,2.0,,
1255,"Korea, Dem. People's Rep.",PRK,2020,,,,,,99.0,,,,72.783,0.378273559953142,,,,,,,,,medium,,,2.0,,,,2.0,,
1256,"Korea, Dem. People's Rep.",PRK,2021,,,,,,99.0,,,,73.437,0.36747843663433,,,,,,,,,medium,,,2.0,,,,2.0,,
1257,"Korea, Dem. People's Rep.",PRK,2022,,,,,,99.0,,,,73.641,0.366471008261931,,,,,,,,,medium,,,2.0,,,,2.0,,
1258,"Korea, Dem. People's Rep.",PRK,2023,,,,,,99.0,,,,73.642,0.338821174570736,,,,,,,,,medium,,,2.0,,,,2.0,,
1259,"Korea, Dem. People's Rep.",PRK,2024,,,,,,99.0,,,,,0.304699893187806,,,,,,,,,,,,2.0,,,,,,
